nbcodcultur,Name,symbiotic fixation kg N/ u,N export,P2O5 export,K2O export,unit,observations,coeff energy,DM/U,species,crop categ,export unit of DM,Residues coefficient of A surface (slope),Residues coefficient of B surface (intercept),below-ground part of residues on the total biomass ,N content in above-ground residues (t N/unit),N content in below-ground residues (t N/tDM),Conversion coeff unit harvest/tonne,Crop type,Emission factor of crop seed (kgeqCO2/kg seeds),Land use category (SOC calculation),Soil cover during winter (default value),% of legumes in the crop (default value),Cf (combustion factor),Crop code
,,,,,,,,,,,,,,,,,,,,,,,,,
Trees. bushes. vineyards,,,,,,,,,,,,,,,,,,,,,,,,,
,Almond tree,,1.3,0.4,3,t,données internet - cédric,24.1,0.95,almond tree,cp,t,,,,,,1,fruit,0,tree crop,no,0,0.8,0
,Apricot,,1.3,0.5,3.6,t,bilan minéraux IE,1.87,0.15,apricot,cp,t,,,,,,1,fruit,0,tree crop,no,0,0.8,0
,Apple tree,,0.9,0.3,2,t,bilan minéraux IE,2.18,0.15,apple tree,cp,t,,,,,,1,fruit,0.407,tree crop,no,0,0.8,0
,Avocado,,3.1,1.2,6.1,t,http://www.nal.usda.gov/fnic/foodcomp/cgi-bin/list_nut_edit.pl,7,0.27,avocado,cp,t,,,,,,1,fruit,0,tree crop,no,0,0.8,0
,Blackcurrant,,1.9,8,0.5,t,http://www.nal.usda.gov/fnic/foodcomp/cgi-bin/list_nut_edit.pl,2.5,0.13,blackcurrant,cp,t,,,,,,1,fruit,0,tree crop,no,0,0.8,0
,Cherry tree,,2,0.5,3,t,bilan minéraux IE,3.27,0.15,cherry tree,cp,t,,,,,,1,fruit,0,tree crop,no,0,0.8,0
,Chestnut,,1.3,0.4,3,t,Données internet - cédric,7.3,0.48,chestnut,cp,t,,,,,,1,fruit,0,tree crop,no,0,0.8,0
,Clementine,,1.3,0.5,2,t,http://www.nal.usda.gov/fnic/foodcomp/cgi-bin/list_nut_edit.pl,2.2,0.15,clementine,cp,t,,,,,,1,fruit,0.0584,tree crop,no,0,0.8,0
,Fig tree,,1.6,0.7,3.5,t,Données internet - cédric + FAB PACA,2.7,0.2,fig tree,cp,t,,,,,,1,fruit,0,tree crop,no,0,0.8,0
,Grapefruit ,,0.8,0.3,1.9,t,http://www.nal.usda.gov/fnic/foodcomp/cgi-bin/list_nut_edit.pl,1.6,0.1,grapefruit ,cp,t,,,,,,1,fruit,0.031,tree crop,no,0,0.8,0
,Hazelnut tree,,23.9,6.6,8.2,t,http://www.nal.usda.gov/fnic/foodcomp/cgi-bin/list_nut_edit.pl,26.3,0.95,hazelnut tree,cp,t,,,,,,1,fruit,0,tree crop,no,0,0.8,0
,Quince,,0.6,0.4,2.4,t DM,http://www.nal.usda.gov/fnic/foodcomp/cgi-bin/list_nut_edit.pl,2.4,0.17,quince,cp,t,,,,,,1,fruit,0,tree crop,no,0,0.8,0
,Kiwi,,1.8,0.8,3.7,t,http://www.nal.usda.gov/fnic/foodcomp/cgi-bin/list_nut_edit.pl,2.5,0.17,kiwi,cp,t,,,,,,1,fruit,0,tree crop,no,0,0.8,0
,Lavender,,10,3,7,t,FAB PACA + NRJ et MS thym,4.2,0.35,lavender,cp,t,,,,,,1,fleur,0,tree crop,no,0,0.8,0
,Lemon ,,2.4,0.3,1.9,t,http://www.nal.usda.gov/fnic/foodcomp/cgi-bin/list_nut_edit.pl,2,0.12,lemon ,cp,t,,,,,,1,fruit,0,tree crop,no,0,0.8,0
,Mandarin orange,,1.3,0.5,2,t,http://www.nal.usda.gov/fnic/foodcomp/cgi-bin/list_nut_edit.pl,2.2,0.15,mandarin orange,cp,t,,,,,,1,fruit,0,tree crop,no,0,0.8,0
,Miscanthus,,6,1,8.5,t DM,unifa,18.5,1,miscanthus,cp,t DM,0.3,0,0.22,0.006,0.012,1,indus,0,tree crop,yes,0,0.8,0
,Orange,,1.1,0.3,2,t,http://www.nal.usda.gov/fnic/foodcomp/cgi-bin/list_nut_edit.pl,1.9,0.13,orange,cp,t,,,,,,1,fruit,0,tree crop,no,0,0.8,0
,Olive tree  (black olives),,5,2.5,8,t,Données Internet - Cédric,12.3,0.5,olive,cp,t,,,,,,1,fruit,0,tree crop,no,0,0.8,0
,Olive tree  (green olives),,5,2.5,8,t,Données Internet - Cédric,5,0.5,olive,cp,t,,,,,,1,fruit,0,tree crop,no,0,0.8,0
,Peach tree,,0.8,0.5,2.8,t,Liwerant 1953,2.16,0.1,peach tree,cp,t,,,,,,1,fruit,0.276,tree crop,no,0,0.8,0
,Pear tree,,0.6,0.4,1.6,t,bilan minéraux IE,2.35,0.1,pear tree,cp,t,,,,,,1,fruit,0,tree crop,no,0,0.8,0
,Persimmon ,,1.3,0.5,3.6,t,Données internet - cédric + FAB PACA,3.3,0.2,persimmon ,cp,t,,,,,,1,fruit,0,tree crop,no,0,0.8,0
,Plum tree,,1.3,0.4,3,t,bilan minéraux IE,2.23,0.15,plum tree,cp,t,,,,,,1,fruit,0,tree crop,no,0,0.8,0
,Raisin,,1.6,0.5,2.4,t,bilan minéraux IE,3,0.1,vineyard,cp,t,,,,,,1,fruit,0,tree crop,no,0,0.8,0
